,GELID,lat,lon,dep,e,n,z,azi1,dip1,sig1,azi2,dip2,sig2,azi3,dip3,sig3,NP,NS,CLID,LT,ML,SEDID,DateTime,Mw
65,Main01408,47.58558,7.5945100000000005,4330,63.9,-56.7,-24.0,55.5,6.2,18.7,333.0,-50.4,27.8,140.4,-38.9,53.8,28,36,CL030,DD,0.7,SED007,2006-12-04 00:04:15,1.1
66,Main01410,47.58517,7.59377,4373,8.3,-102.4,19.0,44.0,-2.5,2.9,314.4,8.5,3.9,297.6,-81.1,5.9,5,6,CL053,DG,,------,2006-12-04 00:11:44,0.5
67,Main01415,47.58726,7.59265,4054,-76.4,129.8,-300.0,53.0,-2.5,2.9,322.7,-7.8,4.5,160.5,-81.8,7.8,5,5,CL102,DG,,------,2006-12-04 00:22:00,0.7
68,Main01416,47.58549,7.594130000000001,4494,35.3,-66.8,140.0,55.4,-7.6,2.8,329.4,27.5,4.3,311.3,-61.3,6.4,4,5,CL029,DG,,------,2006-12-04 00:22:28,0.5
69,Main01419,47.58654,7.59255,4397,-83.8,49.7,43.0,43.4,-13.7,16.0,300.9,-41.7,21.7,147.6,-45.1,36.2,78,65,CL355,DD,,------,2006-12-04 00:32:57,1.0
70,Main01421,47.585229999999996,7.594189999999999,4275,39.9,-95.7,-79.0,40.6,0.0,2.9,310.6,19.9,4.5,310.7,-70.1,6.9,4,4,CL187,DG,,------,2006-12-04 00:35:57,0.2
71,Main01422,47.58558,7.594239999999999,4262,43.6,-56.7,-92.0,60.5,-7.5,2.8,326.2,-29.9,4.5,163.1,-59.0,5.9,6,6,CL119,DG,,------,2006-12-04 00:44:51,0.9
72,Main01434,47.585679999999996,7.59373,4371,5.2,-45.7,17.0,22.5,7.5,11.8,111.2,-9.9,18.3,329.0,-77.6,25.9,57,73,CL225,DD,,------,2006-12-04 01:28:22,0.7
73,Main01436,47.585229999999996,7.59422,4290,42.1,-95.7,-64.0,45.1,-2.9,3.0,316.0,17.3,4.8,305.9,-72.4,7.2,4,4,CL187,DG,,------,2006-12-04 01:29:50,0.4
74,Main01439,47.58592,7.59335,4402,-23.5,-19.1,48.0,29.9,8.7,12.0,119.3,-3.9,17.8,5.5,-80.5,23.4,63,67,CL005,DD,,------,2006-12-04 01:46:27,1.1
75,Main01442,47.58638,7.592410000000001,4410,-94.3,31.9,56.0,46.6,-9.6,2.8,138.7,-12.3,4.2,279.6,-74.3,5.6,5,6,CL008,DG,,------,2006-12-04 01:59:01,0.8
76,Main01445,47.58619,7.59377,4407,8.1,11.0,53.0,52.2,-15.3,31.9,307.9,-42.1,50.4,157.5,-43.9,57.5,63,58,---,DD,1.0,SED008,2006-12-04 02:04:17,1.4
77,Main01448,47.586059999999996,7.5933600000000006,4271,-22.7,-3.5,-83.0,56.1,-9.9,2.9,332.3,31.8,6.1,310.9,-56.3,7.7,6,6,CL066,DG,,------,2006-12-04 02:07:22,0.8
78,Main01452,47.58551,7.594110000000001,4489,33.8,-64.5,135.0,52.4,-10.1,2.9,326.2,20.8,4.5,297.9,-66.7,7.6,5,5,CL029,DG,,------,2006-12-04 02:12:48,0.2
79,Main01454,47.586240000000004,7.59312,4309,-40.8,16.5,-45.0,48.7,-2.2,2.9,319.4,18.1,4.2,311.9,-71.8,7.0,4,5,CL349,DG,,------,2006-12-04 02:35:19,0.4
80,Main01455,47.58806,7.5927,4233,-72.8,218.8,-121.0,52.9,-8.0,4.2,317.2,-35.3,7.1,153.9,-53.5,11.0,5,5,CL197,DG,,------,2006-12-04 02:39:29,0.6
81,Main01456,47.58576,7.593939999999999,4277,21.0,-36.8,-77.0,60.9,-8.4,2.7,327.9,-19.0,4.7,173.6,-69.1,6.4,6,6,CL140,DG,,------,2006-12-04 02:41:14,0.6
82,Main01459,47.586490000000005,7.59265,4409,-76.2,44.2,55.0,55.1,-6.5,3.0,321.9,-26.4,5.1,157.7,-62.7,7.8,6,6,CL355,DG,,------,2006-12-04 02:41:55,0.8
83,Main01466,47.58708,7.59244,4201,-92.2,109.8,-153.0,57.3,-12.0,2.7,140.6,29.0,5.5,167.3,-58.2,5.8,5,6,CL045,DG,,------,2006-12-04 03:05:55,0.6
84,Main01469,47.58645,7.59318,4105,-36.4,39.8,-249.0,39.3,2.4,2.9,129.2,-2.9,4.2,348.4,-86.3,7.1,5,5,CL178,DG,,------,2006-12-04 03:07:42,0.5
85,Main01477,47.586259999999996,7.59324,4106,-31.8,18.7,-248.0,36.6,1.4,2.9,306.5,3.2,4.3,330.7,-86.5,8.0,4,4,CL178,DG,,------,2006-12-04 03:40:39,0.6
86,Main01479,47.586420000000004,7.5926800000000005,4404,-74.0,36.4,50.0,55.7,-5.8,3.1,323.0,-24.2,5.5,158.4,-65.0,7.7,6,6,CL355,DG,,------,2006-12-04 03:42:43,0.8
87,Main01483,47.58518,7.5942300000000005,4237,42.9,-101.2,-117.0,26.3,9.4,3.4,291.6,26.4,6.0,314.1,-61.7,10.0,5,5,CL026,DG,,------,2006-12-04 03:56:39,0.5
88,Main01494,47.58553,7.59353,4447,-9.8,-62.4,93.0,54.3,-6.7,2.8,327.7,27.0,4.2,311.5,-62.1,5.6,6,6,CL013,DG,,------,2006-12-04 04:16:43,0.6
89,Main01500,47.586420000000004,7.59231,4413,101.8,36.4,59.0,57.0,-10.8,2.9,146.9,0.7,4.2,233.0,-79.1,5.6,4,6,CL008,DG,,------,2006-12-04 04:26:01,0.7
90,Main01524,47.58565,7.59373,4453,5.2,-49.0,99.0,232.5,6.2,2.7,323.5,9.1,3.9,288.7,-78.9,5.0,6,6,CL007a,DG,1.5,SED009,2006-12-04 05:18:14,1.6
91,Main01526,47.58549,7.5941399999999994,4486,36.1,-66.8,132.0,239.8,13.7,3.0,153.4,-14.4,4.7,288.0,-69.9,7.5,5,5,CL029,DG,,------,2006-12-04 05:23:10,0.8
92,Main01534,47.586209999999994,7.59329,4406,-28.0,13.2,52.0,69.4,9.5,16.4,344.8,-29.2,26.6,143.3,-59.1,31.4,46,56,CL297,DD,,------,2006-12-04 05:43:25,0.7
93,Main01537,47.58508,7.59427,4291,45.9,-112.3,-63.0,47.8,-2.2,2.9,318.4,15.4,5.1,309.9,-74.4,7.0,4,4,CL187,DG,,------,2006-12-04 05:49:01,0.5
94,Main01541,47.58508,7.593780000000001,4385,9.1,-112.4,31.0,52.2,-0.6,2.9,322.3,3.6,4.4,312.7,-86.4,6.1,6,6,CL053,DG,,------,2006-12-04 05:56:34,0.9
95,Main01557,47.585229999999996,7.5942300000000005,4248,42.9,-95.7,-106.0,4.9,11.2,12.6,278.2,-16.1,20.0,61.6,-70.2,29.3,55,51,CL026,DD,,------,2006-12-04 06:48:07,0.9
96,Main01558,47.58534,7.593489999999999,4463,-12.8,-83.5,109.0,53.1,-4.2,2.7,324.8,22.4,4.5,313.1,-67.1,5.8,5,6,CL013,DG,,------,2006-12-04 06:48:27,0.9
97,Main01565,47.58513,7.59427,4294,45.9,-106.8,-60.0,85.5,-14.6,13.6,104.4,30.7,21.9,73.3,-55.2,32.7,37,28,CL187,DD,,------,2006-12-04 07:12:49,1.0
98,Main01569,47.586459999999995,7.5923300000000005,4418,100.3,40.8,64.0,51.1,-8.2,2.9,323.6,16.4,3.9,295.4,-71.6,5.5,5,6,CL008,DG,,------,2006-12-04 07:17:47,0.7
99,Main01574,47.588029999999996,7.59271,4236,-72.1,215.4,-118.0,53.1,-6.8,4.4,318.0,-36.4,7.4,152.1,-52.8,10.5,5,5,CL197,DG,,------,2006-12-04 07:26:06,0.8
100,Main01583,47.585229999999996,7.5943,4148,48.2,-95.6,-206.0,39.9,-0.2,2.8,309.9,16.6,4.3,309.1,-73.4,6.8,4,4,CL021,DG,,------,2006-12-04 07:41:12,0.7
101,Main01592,47.58643,7.59245,4400,-91.3,37.5,46.0,57.9,-10.7,2.8,323.4,-22.6,5.1,171.6,-64.7,6.8,6,6,CL177,DG,,------,2006-12-04 07:59:16,0.7
102,Main01598,47.58639,7.59324,4104,-31.8,33.2,-250.0,56.4,1.3,16.1,327.5,-40.1,26.5,144.9,-49.9,45.5,25,31,CL178,DD,,------,2006-12-04 08:21:17,0.8
103,Main01625,47.585190000000004,7.594360000000001,4142,52.7,-100.1,-212.0,47.0,-0.8,2.8,317.2,12.0,4.6,313.4,-77.9,6.9,6,6,CL021,DG,,------,2006-12-04 09:47:01,0.6
104,Main01626,47.586529999999996,7.592289999999999,4415,103.3,48.6,61.0,48.8,-11.4,2.8,139.7,-4.2,3.9,249.7,-77.8,5.5,6,6,CL008,DG,,------,2006-12-04 09:48:36,1.1
105,Main01657,47.58526,7.594189999999999,4243,39.9,-92.3,-111.0,30.7,7.1,3.6,120.0,-5.5,5.4,352.5,-81.0,7.5,6,6,CL026,DG,,------,2006-12-04 10:54:26,0.8
106,Main01663,47.58552,7.59355,4445,-8.3,-63.5,91.0,58.7,-8.2,3.0,332.7,25.6,4.4,312.4,-63.0,5.4,6,6,CL013,DG,,------,2006-12-04 11:16:26,0.6
